conversation_id,ground_truth_intent,customer_first_message,support_response
2200802,Product Damage/Defect,Thanks @115821 for sending me a ripped book 😕 Anyone any idea how to complain as I can’t seem to find a contact address?,"@643636 Hello, I am very sorry to hear the book arrived damaged. You can have a look here for the return options available: http:https://t.co/5RcjVPJgUP ^CR"
345678,Payment & Gift Cards,@AmazonHelp This is the screenshot from amazon  which is saying you are   gifted with a phone  and given with a track id. What should I do? https://t.co/vMTYWmVyhw,@198263 If possible can you link us to the page you took a screenshot of? Was this sent to you via e-mail? ^EP
115925,UNKNOWN,Thank you @115821 for hooking it up with the awesome deals on some awesome movies. @6640  @6641 @141808 @116 @6642 https://t.co/JT0dTYoo5e,@141807 It's our pleasure! Pop the popcorn and enjoy the show. ^SH
2474839,Payment & Gift Cards,"@115821 Dear team,

Kindly forward me the invoice copy to __email__ invoice number DEL4-3245119

ORDER NUMBER  405-8813969-9279547.

Amazon register  phone number 9496346514","@707538 You can download an invoice copy from your Amazon.in account. The steps here: https://t.co/r3mxli0q9I should help. Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​^NK"
788267,Delivery Delay,@AmazonHelp need help with an order. My order is already a week late and there's no status update on your website.,@292476 Sorry about that! Please connect with us here: https://t.co/vlvfJr4nN9 and we'll look into it for you. ^PB
689236,Product Damage/Defect,Received damaged re-stitched shoe from @115850 @AmazonHelp . As a prime member product also received lately. Not in priority. Waste of money and time https://t.co/i84Ur2p165,@259822 I'm sorry to know that the product that you received is defective. Kindly return/replace the product using the link here: https://t.co/3yqvLnyTxi ^SG
619215,UNKNOWN,@115850 I ordered two items bt I received only one and it’s showing delivered please help me in this matter https://t.co/kuTqGOjJl6,"@266935 I'm sorry for the inconvenience, please contact us here https://t.co/vlvfJr4nN9. Our support team would assist you accordingly. ^MD"
418772,UNKNOWN,"Can #ECHO read me my Kindle ebooks @115850 @115821 @115851 If not, could we please hav that functionality?","@214878 The device can read out for you, Hemant. For more details visit: https://t.co/MQTAmaRzIG ^KA"
2460788,UNKNOWN,"@116316 echt jetzt?? 

Ein-zwei Tage sind ja ok bei einer Verspätung...aber sieben!? https://t.co/vL9y2CPiJ4","@704607 Tut mir leid zu lesen, dass es hier zu einer Verzögerung gekommen ist. Hab bitte noch ein wenig Geduld und melde dich, wie im Screenshot beschrieben, bei uns im Kundenservice. Viele Grüße ^TR"
321659,UNKNOWN,@115830 Is someone taking the proverbial? Look at the size of the item v the size of the packaging! #AmazonPrime https://t.co/OusJQ38Eph,"@192629 Hi Rob, please leave feedback here o help us improve:  https://t.co/fxgZ6hTrFA ^AT"
2302608,UNKNOWN,@120533 @120534  vous m’expliquer pour quoi mon colis est arriver en l’Italie ? Alors que vendredi il était à coter de chez moi https://t.co/JG5QrSH3AT,"@668180 Bonsoir,
Avez-vous contacté notre SAV pour qu'on vérifie ce qu'il en est?
^MD"
2472387,UNKNOWN,@115850 @AmazonHelp @115821 When you are going to launch Amazon Prime Music in India ?,@707032 We don't have any announcement yet. Please stay tuned to our website for updates. ^MN
